place_id,isletme,kategori,primitif,bolge,adres,lat,lng,telefon,website,puan,yorum_sayisi,google_tipi,transfer_agirligi,skor
ChIJz808qBa3yhQRpQQPWxqOIwc,Hak 3 Ayakkabı,ayakkabi imalathanesi,deforme malzeme + yapistirma,Osmanbey Sisli,"Duatepe, Avukat Cd. 11/A, 34379 Şişli/İstanbul",41.0538197,28.9813479,0546 623 23 53,,5,1,Ayakkabı mağazası,0.85,0.745
ChIJVUqdTv62yhQRZHag4gCWAIs,Haşim Şam Ayakkabı Tamir Atölyesi,ayakkabi imalathanesi,deforme malzeme + yapistirma,Osmanbey Sisli,"Fulya, Ortaklar Cd. No:7, 34394 Şişli/İstanbul",41.065056999999996,28.996222,0545 532 86 85,,2.6,10,Hizmetler,0.85,0.745
ChIJqVM1TKa5yhQRA2G9TH8RmUw,IMO. SHOES /AYAKKABI,ayakkabi imalathanesi,deforme malzeme + yapistirma,Osmanbey Sisli,"Emin Sinan, Kara Baba Türbesi Sok. No:21/B, 34093 Fatih/İstanbul",41.0071657,28.968943699999997,0534 884 18 91,,2.5,2,Üretici,0.85,0.745
ChIJQw1kne25yhQRFTgDJYsS2O0,Imalat Portakal Kundura,ayakkabi imalathanesi,deforme malzeme + yapistirma,Osmanbey Sisli,"Sarıdemir, Kıble Çeşme Cd. No:9, 34134 Fatih/İstanbul",41.0187983,28.965329399999998,0544 413 18 06,,4.6,5,Ayakkabı mağazası,0.85,0.745
ChIJDeKYHKG3yhQR9fr6E7-8wuE,Kazım Yalvaç Valiz Tamir Atölyesi,ayakkabi imalathanesi,deforme malzeme + yapistirma,Osmanbey Sisli,"Türkali, Ihlamurdere Cd. 72/b, 34357 Beşiktaş/İstanbul",41.0463393,29.0025412,(0212) 259 52 81,,4,52,Hizmetler,0.85,0.745
ChIJxSDiKvK3yhQRE1vtjHnKwPs,Kuyumcu tamir atölyesi,kuyumcu atolyesi,ince motor manipulasyon,Osmanbey Sisli,"Katip Mustafa Çelebi, İstiklal Cd. No:69, 34433 Beyoğlu/İstanbul",41.0352658,28.981973,0531 890 72 34,,5,6,Kuyumcu,0.85,0.745
ChIJ47nEGwC3yhQRjHixP7zmVEA,Kuyumcu tamircisi,kuyumcu atolyesi,ince motor manipulasyon,Osmanbey Sisli,"19 Mayıs, Büyükdere Cd. 57/27, 34360 Şişli/İstanbul",41.0670748,28.997681399999998,0537 643 19 76,,,,Kuyumcu,0.85,0.745
ChIJJ2Byigq5yhQRBTDB5psftQ4,Mücevherat Atölye,kuyumcu atolyesi,ince motor manipulasyon,Osmanbey Sisli,"Türkocağı cad istanbul iş hanı kat 2 no 38, Hobyar, Cağaloğlu Yokuşu Sok., 34115 Fatih/İstanbul",41.0125448,28.9750885,0537 503 41 75,,5,12,Kuyumcu,0.85,0.745
ChIJXwNITcC3yhQRyedBlFBA_3M,Renzo Lucci,ayakkabi imalathanesi,deforme malzeme + yapistirma,Osmanbey Sisli,"Meşrutiyet, Osmanbey, Meşrutiyet, Dere Sk. no:12/A, 34363 Şişli/İstanbul",41.055993199999996,28.98845,0532 494 13 71,,5,12,Ayakkabı mağazası,0.85,0.745
ChIJgyYK-uO3yhQRPL0HKlALsNY,SU PIRLANTA KUYUMCULUK,kuyumcu atolyesi,ince motor manipulasyon,Osmanbey Sisli,"Halaskargazi, Süleyman Nazif Sk. No: 69B, 34365 Şişli/İstanbul",41.0530877,28.9888644,0507 389 92 46,,5,155,Kuyumcu,0.85,0.745
ChIJ7xybO_-2yhQRnTH0_V4evU4,Sedef Kuyumculuk,kuyumcu atolyesi,ince motor manipulasyon,Osmanbey Sisli,"Mecidiyeköy Mahallesi, Selahattin Pınar Cd. No:2 D:B, 34381 Şişli/İstanbul - Avrupa",41.066974099999996,28.9975851,(0212) 272 36 44,,4.3,8,Kuyumcu,0.85,0.745
ChIJR0W6dae3yhQRsw2LmNcCv8o,Tanca Ergin,ayakkabi imalathanesi,deforme malzeme + yapistirma,Osmanbey Sisli,"Hürriyet, Ihlamur Sk. No:3/A, 34403 Şişli/İstanbul",41.0502454,28.993431500000003,(0212) 246 12 95,,1,1,Kadın giyim mağazası,0.85,0.745
ChIJWYsXnBK3yhQR9T89cYJ7vkQ,Tosun,kuyumcu atolyesi,ince motor manipulasyon,Osmanbey Sisli,"Yeni Pasajı No:55/C, Ergenekon, Halaskargazi Cd., 34373 Şişli/İstanbul",41.0505223,28.9873613,(0212) 240 34 73,,4.3,9,Kuyumcu,0.85,0.745
ChIJFQ293RG3yhQRPHELA83kTVk,Yener,ayakkabi imalathanesi,deforme malzeme + yapistirma,Osmanbey Sisli,"Halaskargazi, Halaskargazi Cd. 190/A, 34360 Şişli/İstanbul",41.0589466,28.9873856,(0212) 232 95 24,,4.6,14,Ayakkabı mağazası,0.85,0.745
ChIJw5uaARK3yhQRvWtEcWp88bE,Yeni Moda Ayakkabı & Terlik & Çanta,ayakkabi imalathanesi,deforme malzeme + yapistirma,Osmanbey Sisli,"Meşrutiyet, Halaskargazi Cd. No:124 D:A, 34363 Şişli/İstanbul",41.055776,28.987208999999996,(0212) 246 34 01,,4.6,32,Ayakkabı mağazası,0.85,0.745
ChIJRWPYtWi4yhQRKxQ9bkM0KRo,Yunus Kuyumcu Atölyesi,kuyumcu atolyesi,ince motor manipulasyon,Osmanbey Sisli,"Zemin, Osmanağa, Nal Sokak & Söğütlü Çeşme Caddesi 24 - 25, 34714 Kadıköy/İstanbul",40.99103050000001,29.028174799999995,(0216) 414 96 60,,5,1,Kuyumcu,0.85,0.745
ChIJTwa1ohO3yhQRbyeTdifANBg,Zeki Mücevherat,kuyumcu atolyesi,ince motor manipulasyon,Osmanbey Sisli,"Duatepe, Kurtuluş Cd. Feriköy Pasajı 6/A, 34379 Şişli/İstanbul",41.052384599999996,28.9840424,(0212) 247 16 11,,5,8,Kuyumcu,0.85,0.745
ChIJjU5515y3yhQRPQ0cHSB2sjg,hsy mücevher nişantaşı,kuyumcu atolyesi,ince motor manipulasyon,Osmanbey Sisli,"Halaskargazi, Rumeli Cd. no:78/B, 34363 Şişli/İstanbul",41.0536803,28.987697800000003,0532 545 08 60,,4.6,11,Kuyumcu,0.85,0.745
ChIJrflfQju3yhQRkSF13FUEo_8,Galoş Burada,ayakkabi imalathanesi,deforme malzeme + yapistirma,Perpa Okmeydani,"Perpa Ticaret Merkezi A Blok Kat.6 No.595 Okmeydanı, Halil Rıfat Paşa, 34323 Şişli/İstanbul",41.0604412,28.9694964,,http://www.galosburada.com.tr/,5,6,Alışveriş merkezi,0.85,0.745
